wavelength,intensity
728.464,0.03
728.78,0.04
729.097,0.03
729.413,0.03
729.73,0.03
730.046,0.03
730.362,0.03
730.678,0.03
730.995,0.03
731.311,0.03
731.627,0.03
731.943,0.03
732.259,0.03
732.575,0.03
732.89,0.03
733.206,0.03
733.522,0.03
733.838,0.03
734.153,0.03
734.469,0.03
734.784,0.03
735.1,0.03
735.415,0.03
735.731,0.03
736.046,0.03
736.361,0.03
736.676,0.03
736.992,0.03
737.307,0.03
737.622,0.03
737.937,0.03
738.252,0.03
738.567,0.03
738.881,0.03
739.196,0.03
739.511,0.03
739.826,0.03
740.14,0.03
740.455,0.03
740.769,0.03
741.084,0.03
741.398,0.03
741.712,0.03
742.027,0.03
742.341,0.03
742.655,0.03
742.969,0.03
743.283,0.04
743.597,0.04
743.911,0.04
744.225,0.04
744.539,0.03
744.853,0.03
745.167,0.03
745.48,0.03
745.794,0.03
746.108,0.03
746.421,0.03
746.735,0.03
747.048,0.03
747.362,0.03
747.675,0.03
747.988,0.03
748.301,0.03
748.615,0.03
748.928,0.03
749.241,0.03
749.554,0.03
749.867,0.03
750.18,0.03
750.492,0.03
750.805,0.03
751.118,0.03
751.431,0.03
751.743,0.03
752.056,0.03
752.368,0.03
752.681,0.03
752.993,0.03
753.306,0.03
753.618,0.03
753.93,0.03
754.242,0.03
754.554,0.03
754.867,0.03
755.179,0.03
755.491,0.03
755.802,0.03
756.114,0.03
756.426,0.03
756.738,0.03
757.05,0.03
757.361,0.03
757.673,0.03
757.984,0.03
758.296,0.03
758.607,0.03
758.919,0.03
759.23,0.03
759.541,0.03
759.853,0.03
760.164,0.03
760.475,0.03
760.786,0.03
761.097,0.03
761.408,0.03
761.719,0.03
762.03,0.03
762.34,0.03
762.651,0.03
762.962,0.03
763.272,0.03
763.583,0.03
763.893,0.03
764.204,0.03
764.514,0.03
764.825,0.03
765.135,0.03
765.445,0.03
765.755,0.03
766.066,0.03
766.376,0.03
766.686,0.03
766.996,0.03
767.306,0.03
767.615,0.03
767.925,0.03
768.235,0.03
768.545,0.03
768.854,0.03
769.164,0.03
769.473,0.03
769.783,0.03
770.092,0.03
770.402,0.03
770.711,0.03
771.02,0.03
771.329,0.03
771.639,0.03
771.948,0.03
772.257,0.03
772.566,0.03
772.875,0.03
773.184,0.03
773.492,0.03
773.801,0.03
774.11,0.03
774.418,0.03
774.727,0.03
775.036,0.03
775.344,0.03
775.653,0.03
775.961,0.03
776.269,0.03
776.578,0.03
776.886,0.03
777.194,0.03
777.502,0.03
777.81,0.03
778.118,0.03
778.426,0.03
778.734,0.03
779.042,0.03
779.35,0.03
779.657,0.03
779.965,0.03
780.273,0.03
780.58,0.03
780.888,0.03
781.195,0.03
781.502,0.03
781.81,0.03
782.117,0.03
782.424,0.03
782.732,0.03
783.039,0.03
783.346,0.03
783.653,0.03
783.96,0.03
784.267,0.03
784.573,0.04
784.88,0.03
785.187,0.03
785.494,0.04
785.8,0.04
786.107,0.04
786.413,0.04
786.72,0.04
787.026,0.04
